Notebook Samsung Book Intel Core i7 8GB 256GB SSD - Full HD + Microsoft 365 Personal 2020 Office ; R$ 4.318,20 ;  Data: 14/10/2022 
Notebook Macbook Air 13,3” Apple M1 8GB - 256GB SSD Prateado ; R$ 8.369,10 ;  Data: 14/10/2022 
Notebook Ultra UB423 Intel Core i3 4GB - 120GB SSD 14,1” Full HD LCD Linux ; R$ 2.429,10 ;  Data: 14/10/2022 
Notebook Dell Inspiron i15-i1100-M30P 15.6" Full HD 11ª Geração Intel Core i3 8GB 256GB SSD Windows 11 Preto ; R$ 3.685,05 ;  Data: 14/10/2022 
Notebook Positivo Motion Q464C-O Intel Atom Quad Core Windows 10 Home 14,1'' - Dourado - Inclui Microsoft 365* ; R$ 1.231,65 ;  Data: 14/10/2022 
Notebook HP Intel Core i3 8GB 256GB SSD 15,6” - HD Windows 11 + Microsoft 365 Personal 2020 Office ; R$ 2.743,20 ;  Data: 14/10/2022 
Notebook Positivo Motion Red Q464C-O Intel Atom 4Gb 64Gb 14 ; R$ 1.498,95 ;  Data: 14/10/2022 
Notebook ASUS X515JF-EJ360W Intel Core i5 1035G1 8GB 256GB SSD W11 15,6" Cinza ; R$ 3.115,18 ;  Data: 14/10/2022 
Notebook Positivo Motion Gray Intel Atom 4gb 64gb Q464C-O ; R$ 1.323,20 ;  Data: 14/10/2022 
Kit Notebook Dell Inspiron i15-i1100-M40SC 15.6" Full HD 11ª Geração Intel Core i5 8GB 256GB SSD Windows 11 com Capa ; R$ 4.283,10 ;  Data: 14/10/2022 
Notebook Acer Aspire 5 Intel Core i5-10210U, GeForce MX 250, 8GB RAM, 512GB SSD NVMe, 15.6 IPS FHD, Windows 11 Home, Prata - A515-54G-52FY ; R$ 3.799,99 ;  Data: 14/10/2022 
Notebook Lenovo IdeaPad 3i i7-1165G7 16GB 512GB SSD Placa de Vídeo Intel Iris Xe Windows 11 15.6" ; R$ 4.859,10 ;  Data: 14/10/2022 
